Rank,Country / Dependency,Region,Population,% of world,Date
1, China,Asia,1412600000.00,17.80%,31-Dec-21
2, India,Asia,1386946912.00,17.50%,18-Jan-22
3, United States,Americas,333073186.00,4.20%,18-Jan-22
4, Indonesia[b],Asia,271350000.00,3.42%,31-Dec-20
5, Pakistan,Asia,225200000.00,2.84%,01-Jul-21
6, Brazil,Americas,214231641.00,2.70%,18-Jan-22
7, Nigeria,Africa,211401000.00,2.67%,01-Jul-21
8, Bangladesh,Asia,172062576.00,2.17%,18-Jan-22
9, Russia[b],Europe,146171015.00,1.84%,01-Jan-21
10, Mexico,Americas,126014024.00,1.59%,02-Mar-20